open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-03-17 21:00:00+00:00,2326.66,2345.0,2326.65,2337.16,97284.919,2026-03-17 21:59:59.999000+00:00,227384032.76335,,,,0
2026-03-17 22:00:00+00:00,2337.16,2341.09,2317.2,2328.41,84841.134,2026-03-17 22:59:59.999000+00:00,197477206.07688,,,,0
2026-03-17 23:00:00+00:00,2328.41,2332.15,2315.51,2316.45,86004.697,2026-03-17 23:59:59.999000+00:00,199841142.77026,,,,0
2026-03-18 00:00:00+00:00,2316.45,2324.77,2305.6,2323.27,153864.583,2026-03-18 00:59:59.999000+00:00,356144030.83457,,,,0
2026-03-18 01:00:00+00:00,2323.27,2334.15,2321.71,2323.81,110568.412,2026-03-18 01:59:59.999000+00:00,257335552.49055,,,,0
2026-03-18 02:00:00+00:00,2323.82,2340.93,2323.3,2330.04,110257.13,2026-03-18 02:59:59.999000+00:00,257280318.57008,,,,0
2026-03-18 03:00:00+00:00,2330.05,2349.99,2327.11,2339.6,190329.584,2026-03-18 03:59:59.999000+00:00,445289309.41795,,,,0
2026-03-18 04:00:00+00:00,2339.61,2341.0,2325.12,2326.33,99591.689,2026-03-18 04:59:59.999000+00:00,232274459.70491,,,,0
2026-03-18 05:00:00+00:00,2326.32,2329.99,2312.88,2317.52,174736.383,2026-03-18 05:59:59.999000+00:00,405726203.03339,,,,0
2026-03-18 06:00:00+00:00,2317.53,2330.55,2317.13,2321.52,135748.766,2026-03-18 06:59:59.999000+00:00,315383592.5775,,,,0
2026-03-18 07:00:00+00:00,2321.53,2322.45,2310.07,2316.6,113764.921,2026-03-18 07:59:59.999000+00:00,263490729.19856,,,,0
2026-03-18 08:00:00+00:00,2316.6,2324.75,2316.09,2321.61,75006.225,2026-03-18 08:59:59.999000+00:00,174045162.53355,,,,0
2026-03-18 09:00:00+00:00,2321.62,2332.98,2320.32,2328.12,98014.49,2026-03-18 09:59:59.999000+00:00,228163722.06609,,,,0
2026-03-18 10:00:00+00:00,2328.12,2330.88,2305.08,2311.68,191917.993,2026-03-18 10:59:59.999000+00:00,444386739.42335,,,,0
2026-03-18 11:00:00+00:00,2311.68,2318.43,2262.01,2268.1,871709.877,2026-03-18 11:59:59.999000+00:00,1989081676.2447,,,,0
2026-03-18 12:00:00+00:00,2268.11,2269.74,2234.1,2236.48,676849.691,2026-03-18 12:59:59.999000+00:00,1522376026.13108,,,,0
2026-03-18 13:00:00+00:00,2236.49,2243.87,2221.23,2234.66,505111.427,2026-03-18 13:59:59.999000+00:00,1128648509.88269,,,,0
2026-03-18 14:00:00+00:00,2234.65,2236.19,2185.0,2189.1,772502.224,2026-03-18 14:59:59.999000+00:00,1706228920.59689,,,,0
2026-03-18 15:00:00+00:00,2189.09,2194.98,2168.0,2186.25,726857.103,2026-03-18 15:59:59.999000+00:00,1586020258.27042,,,,0
2026-03-18 16:00:00+00:00,2186.25,2190.0,2163.03,2180.0,373791.507,2026-03-18 16:59:59.999000+00:00,813742680.35097,,,,0
2026-03-18 17:00:00+00:00,2180.01,2210.65,2175.83,2202.59,359420.871,2026-03-18 17:59:59.999000+00:00,789249485.04314,,,,0
2026-03-18 18:00:00+00:00,2202.59,2219.0,2174.55,2180.26,479021.705,2026-03-18 18:59:59.999000+00:00,1053006989.1566,,,,0
2026-03-18 19:00:00+00:00,2180.26,2196.15,2176.3,2184.91,173762.454,2026-03-18 19:59:59.999000+00:00,380107931.82921,,,,0
2026-03-18 20:00:00+00:00,2184.9,2195.14,2150.7,2186.41,382310.938,2026-03-18 20:59:59.999000+00:00,830435209.08458,,,,0
2026-03-18 21:00:00+00:00,2186.41,2205.9,2184.54,2201.55,127886.39,2026-03-18 21:59:59.999000+00:00,280881027.86679,,,,0
2026-03-18 22:00:00+00:00,2201.55,2202.48,2185.59,2193.43,100605.204,2026-03-18 22:59:59.999000+00:00,220520700.80809,,,,0
2026-03-18 23:00:00+00:00,2193.44,2205.9,2187.88,2201.95,121372.858,2026-03-18 23:59:59.999000+00:00,266734904.65191,,,,0
